Facing Direction,x Distance,Y Distance,Cost
1,24,48,251
1,23,48,250
4,23,48,247
4,22,48,245
4,21,48,242
3,21,48,238
3,20,48,236
3,19,48,233
2,19,48,232
2,18,48,231
2,17,48,228
1,17,48,225
1,16,48,223
1,15,48,220
1,15,47,217
1,15,46,214
1,15,45,212
1,15,44,209
1,15,43,207
1,15,42,204
1,15,41,202
1,15,40,199
1,15,39,198
1,15,38,195
4,15,38,187
4,14,38,183
4,13,38,180
3,13,38,177
3,12,38,175
3,11,38,172
3,11,37,171
3,11,36,168
2,11,36,165
2,12,36,163
2,12,35,162
2,12,34,159
2,12,33,155
2,12,32,152
2,12,31,148
2,12,30,145
2,12,29,143
2,12,28,140
2,12,27,139
2,12,26,136
2,12,25,135
2,12,24,132
2,12,23,127
2,12,22,124
1,12,22,116
1,11,22,112
1,10,22,109
1,10,21,107
1,10,20,104
4,10,20,101
4,9,20,99
4,8,20,96
3,8,20,92
3,7,20,90
3,6,20,87
3,6,19,85
3,6,18,82
2,6,18,80
2,5,18,79
2,4,18,76
2,4,17,74
2,4,16,71
2,4,15,70
2,4,14,67
2,4,13,62
2,4,12,59
2,4,11,53
2,4,10,50
2,4,9,46
2,4,8,43
2,4,7,41
2,4,6,38
1,4,6,32
1,3,6,29
1,2,6,26
1,2,5,25
1,2,4,22
4,2,4,19
4,1,4,17
4,0,4,14
4,0,3,11
4,0,2,8
4,0,1,3
4,0,0,0
1,38,34,234
1,38,32,231
1,38,31,230
1,38,30,227
1,38,29,225
1,38,28,222
1,38,27,215
1,38,26,212
1,38,25,204
1,38,24,201
1,38,23,197
1,38,22,194
1,38,21,193
1,38,20,190
1,38,19,187
1,38,18,184
1,38,17,183
1,38,16,180
4,38,16,178
4,37,16,177
4,36,16,174
4,36,15,173
4,36,14,170
4,36,13,165
4,36,12,162
4,36,11,161
3,36,11,158
3,35,11,156
3,34,11,153
3,34,10,152
3,34,9,149
3,34,8,148
3,34,7,145
2,34,7,144
2,33,7,143
2,32,7,140
2,32,6,137
2,32,5,134
1,32,5,132
1,31,5,131
1,30,5,128
4,30,5,124
4,29,5,122
4,28,5,119
3,28,5,115
3,27,5,113
3,26,5,110
2,26,5,109
2,25,5,108
2,24,5,105
1,24,5,99
1,23,5,96
1,22,5,93
4,22,5,90
4,21,5,88
4,20,5,85
3,20,5,83
3,19,5,82
3,18,5,79
2,18,5,77
2,17,5,76
2,16,5,73
1,16,5,72
1,15,5,71
1,14,5,68
4,14,5,67
4,13,5,66
4,12,5,63
3,12,5,61
3,11,5,60
3,10,5,57
3,10,4,54
3,10,3,51
2,10,3,49
2,9,3,48
2,8,3,45
1,8,3,41
1,7,3,39
1,6,3,36
4,6,3,34
4,5,3,33
4,4,3,30
3,4,3,24
3,3,3,21
3,2,3,18
3,2,2,16
3,2,1,13
3,2,0,6
4,2,0,4
4,1,0,3
1,1,0,1
1,0,0,0
